,zeitpunkt,bruttolastgang,status
132,2022-01-02T09:00,63604.998732,E
133,2022-01-02T09:15,64225.026726,E
134,2022-01-02T09:30,64738.003473,E
135,2022-01-02T09:45,65770.927921,E
136,2022-01-02T10:00,67098.06795,E
137,2022-01-02T10:15,68669.947823,E
138,2022-01-02T10:30,69546.16404,E
139,2022-01-02T10:45,70576.05705,E
140,2022-01-02T11:00,71418.477656,E
141,2022-01-02T11:15,70679.543904,E
142,2022-01-02T11:30,70867.457027,E
143,2022-01-02T11:45,70840.498096,E
144,2022-01-02T12:00,70940.737793,E
145,2022-01-02T12:15,72325.311061,E
146,2022-01-02T12:30,72907.388382,E
147,2022-01-02T12:45,72797.802377,E
148,2022-01-02T13:00,73316.372747,E
149,2022-01-02T13:15,72663.192304,E
150,2022-01-02T13:30,72595.172304,E
151,2022-01-02T13:45,72042.395717,E
152,2022-01-02T14:00,71784.168696,E
153,2022-01-02T14:15,71843.579031,E
154,2022-01-02T14:30,71624.914665,E
155,2022-01-02T14:45,71560.623381,E
156,2022-01-02T15:00,72374.890304,E
157,2022-01-02T15:15,72735.434641,E
158,2022-01-02T15:30,73170.898501,E
159,2022-01-02T15:45,73333.509996,E
160,2022-01-02T16:00,73559.196381,E
161,2022-01-02T16:15,73948.228763,E
162,2022-01-02T16:30,74327.277771,E
163,2022-01-02T16:45,75053.089854,E
164,2022-01-02T17:00,76626.617108,E
165,2022-01-02T17:15,77856.244306,E
166,2022-01-02T17:30,79399.173367,E
167,2022-01-02T17:45,80412.064694,E
168,2022-01-02T18:00,81271.894956,E
169,2022-01-02T18:15,81499.543264,E
170,2022-01-02T18:30,81742.209105,E
171,2022-01-02T18:45,81253.511753,E
172,2022-01-02T19:00,81082.535141,E
173,2022-01-02T19:15,80306.041873,E
174,2022-01-02T19:30,79803.685842,E
175,2022-01-02T19:45,78988.324617,E
176,2022-01-02T20:00,77837.76887,E
177,2022-01-02T20:15,76579.823704,E
178,2022-01-02T20:30,75808.17491,E
179,2022-01-02T20:45,74508.206756,E
180,2022-01-02T21:00,73548.428665,E
181,2022-01-02T21:15,72500.899192,E
182,2022-01-02T21:30,71429.305438,E
183,2022-01-02T21:45,70674.29286,E
184,2022-01-02T22:00,69674.933331,E
185,2022-01-02T22:15,68045.151397,E
186,2022-01-02T22:30,66857.669813,E
187,2022-01-02T22:45,65352.412857,E
188,2022-01-02T23:00,64209.645975,E
189,2022-01-02T23:15,63099.388773,E
190,2022-01-02T23:30,61947.759916,E
191,2022-01-02T23:45,60708.347095,E
192,2022-01-03T00:00,59719.68107,E
193,2022-01-03T00:15,58829.073742,E
194,2022-01-03T00:30,57825.432857,E
195,2022-01-03T00:45,56977.697753,E
196,2022-01-03T01:00,56041.770522,E
197,2022-01-03T01:15,54843.209662,E
198,2022-01-03T01:30,53989.205692,E
199,2022-01-03T01:45,53327.221138,E
200,2022-01-03T02:00,52484.943421,E
201,2022-01-03T02:15,52454.096192,E
